# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
24838at33090	Complete	L_sativa_g024444.t1	944.0	703	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	L_sativa_g004486.t1	1020.6	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	L_sativa_g042194.t1	785.5	507	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	L_sativa_g041583.t1	926.4	625	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	L_sativa_g009408.t1	808.4	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	L_sativa_g031189.t1	847.1	534	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	L_sativa_g040702.t1	856.0	593	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	L_sativa_g016972.t1	954.4	512	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Missing
32923at33090	Complete	L_sativa_g035147.t1	1219.1	698	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	L_sativa_g006436.t1	567.0	375	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	L_sativa_g043760.t1	986.8	663	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	L_sativa_g026852.t1	935.0	558	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	L_sativa_g009147.t1	714.4	513	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	L_sativa_g037185.t1	1117.5	608	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	L_sativa_g008108.t1	817.8	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	L_sativa_g008173.t1	929.4	596	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	L_sativa_g010174.t1	1061.7	546	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	L_sativa_g038877.t1	996.9	574	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	L_sativa_g004647.t1	803.7	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	L_sativa_g023663.t1	751.0	436	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	L_sativa_g012575.t1	909.4	643	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	L_sativa_g045846.t1	780.6	500	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	L_sativa_g003139.t1	1113.2	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	L_sativa_g009029.t1	742.5	430	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
44526at33090	Complete	L_sativa_g041736.t1	725.6	506	https://v10-1.orthodb.org/?query=44526at33090	GPI transamidase component PIG-T
46307at33090	Complete	L_sativa_g037493.t1	836.3	439	https://v10-1.orthodb.org/?query=46307at33090	Acetyl-coenzyme A carboxyltransferase, C-terminal
48027at33090	Complete	L_sativa_g042857.t1	809.6	425	https://v10-1.orthodb.org/?query=48027at33090	Aminoacyl-tRNA synthetase, class I, anticodon-binding
48290at33090	Complete	L_sativa_g024031.t1	726.0	460	https://v10-1.orthodb.org/?query=48290at33090	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
48645at33090	Complete	L_sativa_g041660.t1	667.3	473	https://v10-1.orthodb.org/?query=48645at33090	Cwf19-like, C-terminal domain-1
49092at33090	Duplicated	L_sativa_g002367.t1	897.4	461	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
49092at33090	Duplicated	L_sativa_g020370.t1	881.4	461	https://v10-1.orthodb.org/?query=49092at33090	Aldehyde dehydrogenase domain
50512at33090	Complete	L_sativa_g029675.t1	397.8	331	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	L_sativa_g026619.t1	530.6	397	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	L_sativa_g035561.t1	662.1	414	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	L_sativa_g006266.t1	497.7	393	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	L_sativa_g019204.t1	582.4	387	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Complete	L_sativa_g019701.t1	924.6	456	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	L_sativa_g031926.t1	730.1	414	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	L_sativa_g012807.t1	508.8	358	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	L_sativa_g041569.t1	1243.2	706	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	L_sativa_g011292.t1	809.3	421	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Complete	L_sativa_g027953.t1	731.7	448	https://v10-1.orthodb.org/?query=57004at33090	FAD/NAD(P)-binding domain superfamily
58672at33090	Complete	L_sativa_g029036.t1	448.9	261	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	L_sativa_g038899.t1	609.6	362	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Complete	L_sativa_g006868.t1	409.8	287	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	L_sativa_g041938.t1	670.5	371	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	L_sativa_g012213.t1	646.6	346	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	L_sativa_g039833.t1	781.8	619	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Complete	L_sativa_g013925.t1	463.7	340	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Complete	L_sativa_g010243.t1	757.1	482	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	L_sativa_g033088.t1	555.2	386	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	L_sativa_g010985.t1	828.4	637	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Complete	L_sativa_g037964.t1	524.7	331	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Complete	L_sativa_g048417.t1	660.6	431	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Complete	L_sativa_g023297.t1	462.9	284	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Complete	L_sativa_g029222.t1	643.9	422	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Complete	L_sativa_g035733.t1	367.9	282	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Complete	L_sativa_g021375.t1	569.0	331	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
70613at33090	Complete	L_sativa_g048381.t1	717.0	375	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	L_sativa_g008962.t1	389.9	268	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Complete	L_sativa_g028432.t1	603.4	415	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Complete	L_sativa_g037025.t1	703.1	377	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
