# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
22958at33090	Complete	S_bicolor_g002044.t1	1060.3	674	https://v10-1.orthodb.org/?query=22958at33090	SAP domain
23444at33090	Complete	S_bicolor_g009947.t1	544.2	443	https://v10-1.orthodb.org/?query=23444at33090	Pumilio RNA-binding repeat
23853at33090	Complete	S_bicolor_g025035.t1	819.0	641	https://v10-1.orthodb.org/?query=23853at33090	GTP binding domain
24838at33090	Complete	S_bicolor_g027453.t1	903.6	700	https://v10-1.orthodb.org/?query=24838at33090	G patch domain-containing protein, N-terminal
25435at33090	Complete	S_bicolor_g003806.t1	1010.9	710	https://v10-1.orthodb.org/?query=25435at33090	ATPase, AAA-type, core
26868at33090	Complete	S_bicolor_g003613.t1	765.2	519	https://v10-1.orthodb.org/?query=26868at33090	Aprataxin, C2HE/C2H2/C2HC zinc finger
27237at33090	Complete	S_bicolor_g011760.t1	881.9	585	https://v10-1.orthodb.org/?query=27237at33090	Nucleic acid-binding, OB-fold
27607at33090	Complete	S_bicolor_g028652.t1	794.3	544	https://v10-1.orthodb.org/?query=27607at33090	FG-GAP repeat-containing protein
28920at33090	Complete	S_bicolor_g025390.t1	822.2	512	https://v10-1.orthodb.org/?query=28920at33090	MCM domain
31155at33090	Complete	S_bicolor_g015603.t1	869.1	592	https://v10-1.orthodb.org/?query=31155at33090	-alpha-acetyltransferase 35, NatC auxiliary subunit
31855at33090	Complete	S_bicolor_g009486.t1	952.9	510	https://v10-1.orthodb.org/?query=31855at33090	ABC-2 type transporter
32730at33090	Complete	S_bicolor_g004816.t1	694.9	433	https://v10-1.orthodb.org/?query=32730at33090	THO complex, subunit THOC1
32923at33090	Complete	S_bicolor_g010566.t1	1637.7	689	https://v10-1.orthodb.org/?query=32923at33090	Ubiquitin-like modifier-activating enzyme Atg7
33264at33090	Complete	S_bicolor_g007692.t1	714.2	464	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	S_bicolor_g024992.t1	938.8	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	S_bicolor_g025131.t1	895.9	548	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	S_bicolor_g021490.t1	794.7	512	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	S_bicolor_g022871.t1	1049.4	607	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	S_bicolor_g020066.t1	834.9	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	S_bicolor_g019057.t1	908.7	585	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	S_bicolor_g014431.t1	1057.4	545	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	S_bicolor_g007123.t1	982.0	573	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	S_bicolor_g001750.t1	823.2	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	S_bicolor_g003855.t1	743.8	436	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	S_bicolor_g001933.t1	883.2	642	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	S_bicolor_g010247.t1	706.3	448	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	S_bicolor_g025703.t1	1089.0	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
