# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
50512at33090	Complete	A_thaliana_g023159.t1	390.3	328	https://v10-1.orthodb.org/?query=50512at33090	uncharacterized protein LOC107776719
50528at33090	Complete	A_thaliana_g016162.t1	519.3	396	https://v10-1.orthodb.org/?query=50528at33090	Light-mediated development protein DET1
51214at33090	Complete	A_thaliana_g009720.t1	635.5	414	https://v10-1.orthodb.org/?query=51214at33090	RNA helicase
51262at33090	Complete	A_thaliana_g002706.t1	399.5	389	https://v10-1.orthodb.org/?query=51262at33090	Peroxisomal/glyoxysomal leader peptide-processing protease
52348at33090	Complete	A_thaliana_g024661.t1	594.4	356	https://v10-1.orthodb.org/?query=52348at33090	JmjC domain
52435at33090	Complete	A_thaliana_g016561.t1	899.2	455	https://v10-1.orthodb.org/?query=52435at33090	Amine oxidase
52795at33090	Complete	A_thaliana_g011763.t1	743.5	414	https://v10-1.orthodb.org/?query=52795at33090	Lysine--tRNA ligase
53416at33090	Complete	A_thaliana_g010134.t1	544.1	358	https://v10-1.orthodb.org/?query=53416at33090	Alpha-1,3-glucosyltransferase
53527at33090	Complete	A_thaliana_g009736.t1	1255.6	719	https://v10-1.orthodb.org/?query=53527at33090	Glycoside hydrolase, family 77
55448at33090	Complete	A_thaliana_g023582.t1	811.1	421	https://v10-1.orthodb.org/?query=55448at33090	Proline-tRNA ligase, class IIa
57004at33090	Complete	A_thaliana_g008892.t1	713.0	425	https://v10-1.orthodb.org/?query=57004at33090	FAD/NAD(P)-binding domain superfamily
58672at33090	Complete	A_thaliana_g000778.t1	455.9	262	https://v10-1.orthodb.org/?query=58672at33090	VDE lipocalin domain
60262at33090	Complete	A_thaliana_g019940.t1	616.6	362	https://v10-1.orthodb.org/?query=60262at33090	WD40/YVTN repeat-like-containing domain superfamily
62262at33090	Complete	A_thaliana_g001987.t1	411.8	298	https://v10-1.orthodb.org/?query=62262at33090	Pseudouridine synthase, catalytic domain superfamily
63411at33090	Complete	A_thaliana_g012927.t1	666.0	371	https://v10-1.orthodb.org/?query=63411at33090	Fe-S cluster assembly domain superfamily
63853at33090	Complete	A_thaliana_g018569.t1	660.9	346	https://v10-1.orthodb.org/?query=63853at33090	NAD-dependent epimerase/dehydratase
64272at33090	Complete	A_thaliana_g005472.t1	827.9	620	https://v10-1.orthodb.org/?query=64272at33090	Nucleolar protein 14
65263at33090	Complete	A_thaliana_g024977.t1	420.3	331	https://v10-1.orthodb.org/?query=65263at33090	P-loop containing nucleoside triphosphate hydrolase
67132at33090	Complete	A_thaliana_g012540.t1	839.4	482	https://v10-1.orthodb.org/?query=67132at33090	DNA topoisomerase 6 subunit B
67389at33090	Complete	A_thaliana_g005021.t1	535.6	385	https://v10-1.orthodb.org/?query=67389at33090	Ribosomal protein Rsm22-like
68169at33090	Complete	A_thaliana_g019746.t1	766.7	639	https://v10-1.orthodb.org/?query=68169at33090	Nucleoporin Nup88
68537at33090	Complete	A_thaliana_g001612.t1	502.4	323	https://v10-1.orthodb.org/?query=68537at33090	Glycosyltransferase subfamily 4-like, N-terminal domain
68957at33090	Complete	A_thaliana_g001644.t1	662.8	431	https://v10-1.orthodb.org/?query=68957at33090	Mannosyltransferase
69073at33090	Complete	A_thaliana_g013338.t1	461.2	284	https://v10-1.orthodb.org/?query=69073at33090	Protein arginine methyltransferase NDUFAF7
69137at33090	Complete	A_thaliana_g019862.t1	635.6	425	https://v10-1.orthodb.org/?query=69137at33090	CDK5 regulatory subunit-associated protein 3
69505at33090	Complete	A_thaliana_g009708.t1	561.5	370	https://v10-1.orthodb.org/?query=69505at33090	tRNA A64-2'-O-ribosylphosphate transferase
69614at33090	Complete	A_thaliana_g002658.t1	561.3	331	https://v10-1.orthodb.org/?query=69614at33090	WD40 repeat
70613at33090	Complete	A_thaliana_g023744.t1	719.5	375	https://v10-1.orthodb.org/?query=70613at33090	Homogentisate 1,2-dioxygenase
71620at33090	Complete	A_thaliana_g005292.t1	411.4	334	https://v10-1.orthodb.org/?query=71620at33090	DNA primase large subunit
72992at33090	Complete	A_thaliana_g008283.t1	597.4	418	https://v10-1.orthodb.org/?query=72992at33090	RED-like, N-terminal
74230at33090	Complete	A_thaliana_g007992.t1	677.1	376	https://v10-1.orthodb.org/?query=74230at33090	Peptidogalycan biosysnthesis/recognition
74580at33090	Complete	A_thaliana_g011218.t1	560.5	397	https://v10-1.orthodb.org/?query=74580at33090	Nuclear protein DGCR14/ESS-2
74742at33090	Complete	A_thaliana_g024014.t1	350.4	301	https://v10-1.orthodb.org/?query=74742at33090	Histone acetyltransferase type B, catalytic subunit
75785at33090	Complete	A_thaliana_g024628.t1	432.3	324	https://v10-1.orthodb.org/?query=75785at33090	P-loop containing nucleoside triphosphate hydrolase
76026at33090	Complete	A_thaliana_g012653.t1	500.9	331	https://v10-1.orthodb.org/?query=76026at33090	SET domain
76849at33090	Complete	A_thaliana_g009706.t1	703.9	464	https://v10-1.orthodb.org/?query=76849at33090	Mini-chromosome maintenance complex-binding protein
79950at33090	Complete	A_thaliana_g001744.t1	425.0	273	https://v10-1.orthodb.org/?query=79950at33090	Rhodanese-like domain
83749at33090	Complete	A_thaliana_g006974.t1	606.6	354	https://v10-1.orthodb.org/?query=83749at33090	Beta-ketoacyl synthase, C-terminal
84114at33090	Complete	A_thaliana_g010488.t1	630.6	346	https://v10-1.orthodb.org/?query=84114at33090	Protein of unknown function DUF4336
84264at33090	Complete	A_thaliana_g011734.t1	631.9	628	https://v10-1.orthodb.org/?query=84264at33090	WW domain
87347at33090	Complete	A_thaliana_g012625.t1	1174.8	735	https://v10-1.orthodb.org/?query=87347at33090	WD40 repeat
87734at33090	Complete	A_thaliana_g021028.t1	280.0	242	https://v10-1.orthodb.org/?query=87734at33090	Helicase, C-terminal
88295at33090	Complete	A_thaliana_g011924.t1	431.4	326	https://v10-1.orthodb.org/?query=88295at33090	Rab3-GAP regulatory subunit
88687at33090	Complete	A_thaliana_g010962.t1	491.7	322	https://v10-1.orthodb.org/?query=88687at33090	Rad9/Ddc1
88771at33090	Complete	A_thaliana_g005003.t1	504.0	371	https://v10-1.orthodb.org/?query=88771at33090	Tetratricopeptide-like helical domain superfamily
89796at33090	Complete	A_thaliana_g003020.t1	893.3	543	https://v10-1.orthodb.org/?query=89796at33090	Conserved oligomeric Golgi complex subunit 6
90240at33090	Complete	A_thaliana_g004166.t1	429.9	332	https://v10-1.orthodb.org/?query=90240at33090	Methyltransferase domain
