# BUSCO version is: 6.0.0 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
33264at33090	Complete	A_thaliana_g019661.t1	699.8	464	https://v10-1.orthodb.org/?query=33264at33090	Tyrosyl-DNA phosphodiesterase I
34517at33090	Complete	A_thaliana_g005071.t1	990.1	664	https://v10-1.orthodb.org/?query=34517at33090	Conserved oligomeric Golgi complex subunit 5
35499at33090	Complete	A_thaliana_g017426.t1	936.0	555	https://v10-1.orthodb.org/?query=35499at33090	FAD/NAD(P)-binding domain
35887at33090	Complete	A_thaliana_g019802.t1	750.0	514	https://v10-1.orthodb.org/?query=35887at33090	Rad4 beta-hairpin domain 1
36284at33090	Complete	A_thaliana_g011811.t1	1096.2	608	https://v10-1.orthodb.org/?query=36284at33090	Dynamin superfamily
37663at33090	Complete	A_thaliana_g020229.t1	843.9	531	https://v10-1.orthodb.org/?query=37663at33090	MoeA, C-terminal, domain IV
37699at33090	Complete	A_thaliana_g011528.t1	862.5	581	https://v10-1.orthodb.org/?query=37699at33090	ATP-dependent RNA helicase DEAD-box, conserved site
39913at33090	Complete	A_thaliana_g023201.t1	1062.8	547	https://v10-1.orthodb.org/?query=39913at33090	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
40630at33090	Complete	A_thaliana_g016009.t1	969.6	528	https://v10-1.orthodb.org/?query=40630at33090	Helicase, C-terminal
41146at33090	Complete	A_thaliana_g009490.t1	816.0	452	https://v10-1.orthodb.org/?query=41146at33090	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
41244at33090	Complete	A_thaliana_g017039.t1	763.2	438	https://v10-1.orthodb.org/?query=41244at33090	Imidazole glycerol phosphate synthase hisHF
42407at33090	Complete	A_thaliana_g011821.t1	897.1	621	https://v10-1.orthodb.org/?query=42407at33090	WW domain
43683at33090	Complete	A_thaliana_g009237.t1	771.3	506	https://v10-1.orthodb.org/?query=43683at33090	PPM-type phosphatase domain
43957at33090	Complete	A_thaliana_g001452.t1	1067.8	686	https://v10-1.orthodb.org/?query=43957at33090	WD40 repeat
44063at33090	Complete	A_thaliana_g023621.t1	744.2	431	https://v10-1.orthodb.org/?query=44063at33090	4-alpha-glucanotransferase
